date,reg,sex,first_dose,second_dose,percent_first,percent_second
2021-09-12,01,1,52909,41727,30.9,24.4
2021-09-12,01,2,63009,49144,30.6,23.9
2021-09-12,02,1,51730,42181,31.5,25.7
2021-09-12,02,2,61445,49486,31.6,25.4
2021-09-12,03,1,38637,32158,27.4,22.8
2021-09-12,03,2,34717,29356,23.2,19.6
2021-09-12,04,1,220392,197517,53.9,48.3
2021-09-12,04,2,246522,222299,54.6,49.3
2021-09-12,06,1,47277,33086,35.5,24.8
2021-09-12,06,2,58314,40887,39.9,28.0
2021-09-12,07,1,3664,3314,69.3,62.6
2021-09-12,07,2,2855,2538,61.1,54.3
2021-09-12,08,1,5867,5145,35.0,30.7
2021-09-12,08,2,6105,5414,32.9,29.2
2021-09-12,11,1,4342338,4035577,73.4,68.2
2021-09-12,11,2,4508521,4238847,70.9,66.6
2021-09-12,24,1,909399,857750,73.4,69.2
2021-09-12,24,2,989016,942855,74.9,71.4
2021-09-12,27,1,994768,939995,73.5,69.5
2021-09-12,27,2,1076049,1026090,75.3,71.8
2021-09-12,28,1,1259538,1192005,79.0,74.7
2021-09-12,28,2,1368721,1309981,80.1,76.7
2021-09-12,32,1,2098933,1977283,72.6,68.4
2021-09-12,32,2,2270809,2159289,73.9,70.3
2021-09-12,44,1,1936976,1837762,72.1,68.4
2021-09-12,44,2,2090572,1997151,74.0,70.7
2021-09-12,52,1,1434947,1358150,77.6,73.4
2021-09-12,52,2,1528974,1461433,78.3,74.9
2021-09-12,53,1,1287237,1202841,79.4,74.2
2021-09-12,53,2,1394893,1321918,81.2,76.9
2021-09-12,75,1,2265302,2147644,78.5,74.4
2021-09-12,75,2,2471044,2362983,79.4,75.9
2021-09-12,76,1,2096373,1986665,73.3,69.5
2021-09-12,76,2,2265089,2159020,73.9,70.4
2021-09-12,84,1,2864594,2707435,73.4,69.4
2021-09-12,84,2,3043606,2893571,73.7,70.1
2021-09-12,93,1,1754466,1630950,72.6,67.5
2021-09-12,93,2,1902855,1785630,72.1,67.6
2021-09-12,94,1,117991,110669,70.7,66.3
2021-09-12,94,2,123559,117066,69.5,65.9
2021-09-12,01,0,116049,90964,30.8,24.1
2021-09-12,02,0,113598,91949,31.7,25.6
2021-09-12,03,0,75420,63160,25.9,21.7
2021-09-12,04,0,467245,420060,54.3,48.8
2021-09-12,06,0,106403,74468,38.1,26.6
2021-09-12,07,0,6575,5901,66.0,59.2
2021-09-12,08,0,12220,10732,34.6,30.4
2021-09-12,11,0,8918041,8333894,72.6,67.9
2021-09-12,24,0,1901497,1803220,74.3,70.5
2021-09-12,27,0,2074166,1968903,74.5,70.7
2021-09-12,28,0,2632476,2505533,79.7,75.8
2021-09-12,32,0,4376451,4142215,73.4,69.5
2021-09-12,44,0,4035819,3841915,73.2,69.7
2021-09-12,52,0,2971471,2825411,78.2,74.3
2021-09-12,53,0,2685689,2527557,80.4,75.7
2021-09-12,75,0,4744853,4517461,79.1,75.3
2021-09-12,76,0,4371048,4153630,73.8,70.1
2021-09-12,84,0,5931288,5618918,73.8,70.0
2021-09-12,93,0,3670084,3426491,72.6,67.8
2021-09-12,94,0,242093,228141,70.2,66.2
